ÀÏÀÚ,±¸ºÐ,°è,05½Ã,06½Ã,07½Ã,08½Ã,09½Ã,10½Ã,11½Ã,12½Ã,13½Ã,14½Ã,15½Ã,16½Ã,17½Ã,18½Ã,19½Ã,20½Ã,21½Ã,22½Ã,23½Ã,24½Ã,01½Ã,02½Ã,03½Ã,04½Ã
2019.01.01,½ÂÂ÷,"100,200","2,327","2,872","2,643","3,912","4,677","4,637","5,645","6,511","7,118","7,453","7,790","8,323","7,761","6,867","5,746","5,007","5,040","3,673","1,716",458,6,1,0,17
2019.01.01,ÇÏÂ÷,"100,298",856,"3,446","2,448","3,056","4,354","4,146","4,857","5,753","6,821","7,110","7,346","7,736","7,864","7,681","6,502","5,467","5,336","4,958","3,066","1,454",37,1,0,3
2019.01.02,½ÂÂ÷,"205,784","3,372","8,768","23,323","21,563","10,176","7,498","8,033","9,130","9,863","9,235","10,787","11,530","17,157","21,960","10,394","8,119","6,947","4,917","2,402",590,5,1,0,14
2019.01.02,ÇÏÂ÷,"201,561",872,"4,852","12,775","24,355","10,594","6,760","6,996","7,857","9,566","8,945","9,604","10,407","13,579","22,531","18,231","10,708","8,597","7,593","4,556","2,102",79,1,0,1
2019.01.03,½ÂÂ÷,"209,925","3,193","8,563","23,640","22,461","10,707","7,948","8,162","9,451","9,898","9,215","10,301","11,801","17,045","21,433","10,574","9,261","7,631","5,461","2,467",689,8,2,0,14
2019.01.03,ÇÏÂ÷,"206,914",857,"4,857","13,001","25,026","11,189","7,233","7,212","8,054","9,535","9,108","9,423","10,648","13,727","22,377","18,123","11,210","9,636","8,085","5,056","2,488",62,2,0,5
2019.01.04,½ÂÂ÷,"228,130","3,288","8,441","23,365","22,342","10,947","8,404","9,061","10,610","11,521","10,478","12,359","13,641","18,508","23,811","12,343","10,286","8,128","6,287","3,346",947,2,0,0,15
2019.01.04,ÇÏÂ÷,"224,805",826,"4,885","12,896","25,066","11,308","7,784","8,395","9,494","11,382","10,322","11,177","12,011","14,904","24,121","19,874","12,204","10,018","8,445","5,996","3,572",122,0,0,3
2019.01.05,½ÂÂ÷,"169,261","2,449","4,050","6,336","8,644","8,951","8,860","10,960","11,989","12,345","11,963","12,529","13,389","14,334","11,357","8,056","7,260","6,611","5,525","2,798",839,5,1,0,10
2019.01.05,ÇÏÂ÷,"167,253",696,"3,432","5,049","7,176","8,583","6,946","8,923","10,735","11,554","11,436","11,545","12,426","14,085","13,537","9,904","7,918","7,610","7,434","5,447","2,735",79,1,0,2
2019.01.06,½ÂÂ÷,"123,974","1,721","2,336","3,180","5,342","6,819","6,764","7,231","8,644","9,566","9,490","10,203","10,265","9,932","8,372","6,536","5,982","5,373","4,012","1,744",445,4,2,0,11
2019.01.06,ÇÏÂ÷,"123,151",544,"2,164","2,304","3,799","5,943","5,974","6,025","7,467","8,993","9,238","9,479","10,178","10,288","9,405","7,916","6,643","6,486","5,469","3,335","1,463",35,2,0,1
2019.01.07,½ÂÂ÷,"214,895","3,566","9,133","24,399","22,235","11,189","8,300","8,452","9,815","10,433","9,534","10,749","12,438","17,069","21,933","10,871","9,376","7,450","4,997","2,299",627,12,0,0,18
2019.01.07,ÇÏÂ÷,"211,457",959,"5,048","13,341","24,850","11,642","7,749","7,770","8,512","10,270","9,420","10,146","11,194","13,854","22,677","18,740","11,560","9,373","7,495","4,645","2,135",73,0,0,4
2019.01.08,½ÂÂ÷,"215,445","3,422","8,721","23,939","22,827","11,344","8,312","8,848","9,695","10,245","9,624","10,952","12,008","17,272","21,887","10,874","9,587","7,693","5,320","2,229",621,8,0,0,17
2019.01.08,ÇÏÂ÷,"212,207",958,"4,839","13,264","24,995","11,910","7,645","7,782","8,667","10,200","9,440","10,257","10,958","13,862","22,698","18,307","11,495","9,688","8,037","4,928","2,190",80,0,0,7
2019.01.09,½ÂÂ÷,"209,559","3,300","8,387","23,435","22,429","10,647","7,708","8,127","9,324","9,377","8,859","10,506","11,601","18,005","22,238","10,763","8,902","7,503","5,396","2,426",609,7,0,0,10
2019.01.09,ÇÏÂ÷,"206,635",890,"4,781","12,885","24,758","11,191","6,957","7,245","8,103","9,444","8,879","9,401","10,770","13,747","23,376","18,238","11,038","9,098","8,140","5,206","2,427",59,0,0,2
2019.01.10,½ÂÂ÷,"215,070","3,379","8,537","23,547","22,429","11,145","8,270","8,742","9,583","10,363","9,499","10,403","11,908","17,454","22,232","10,858","9,631","7,877","5,777","2,745",663,14,1,0,13
2019.01.10,ÇÏÂ÷,"211,492",863,"4,949","13,068","24,777","11,367","7,627","7,738","8,444","9,978","9,282","9,483","10,951","14,052","23,197","17,935","11,474","9,641","8,620","5,312","2,648",78,0,0,8
2019.01.11,½ÂÂ÷,"225,097","3,325","8,361","23,040","22,117","11,270","8,684","9,095","10,012","10,269","10,087","11,501","13,388","19,284","23,677","12,287","9,762","8,076","6,468","3,356","1,016",12,3,0,7
2019.01.11,ÇÏÂ÷,"221,247",920,"4,890","12,965","24,235","11,547","7,728","7,923","8,650","10,016","9,752","10,621","11,887","15,116","24,464","19,709","11,927","9,954","8,595","6,506","3,693",145,3,0,1
2019.01.12,½ÂÂ÷,"173,275","2,574","3,939","6,422","9,002","9,112","9,223","11,357","12,086","12,228","12,142","12,980","13,816","14,382","11,407","8,415","7,697","6,789","5,821","3,032",823,10,0,0,18
2019.01.12,ÇÏÂ÷,"170,855",744,"3,620","4,983","7,215","8,275","7,464","9,242","10,685","11,552","11,671","11,756","12,760","14,127","13,929","10,404","8,349","7,712","7,869","5,524","2,888",83,0,0,3
2019.01.13,½ÂÂ÷,"122,779","1,735","2,387","3,189","5,177","6,805","7,059","7,554","8,362","9,227","9,247","9,868","9,977","9,977","8,092","6,651","5,930","5,291","4,031","1,717",477,7,1,0,18
2019.01.13,ÇÏÂ÷,"122,115",527,"2,218","2,294","3,585","5,751","5,964","6,452","7,241","8,548","8,614","9,562","9,946","10,111","9,651","8,038","6,678","6,321","5,617","3,410","1,551",31,1,0,4
2019.01.14,½ÂÂ÷,"206,105","3,582","8,905","23,318","21,770","10,852","7,984","8,201","9,094","9,547","8,703","9,888","11,329","16,225","21,783","10,544","9,190","7,323","5,038","2,217",588,3,3,0,18
2019.01.14,ÇÏÂ÷,"203,247",992,"4,974","13,190","24,057","11,289","7,460","7,150","8,049","9,318","8,738","9,165","10,158","13,285","22,346","18,324","11,210","9,169","7,522","4,602","2,175",65,1,0,8
2019.01.15,½ÂÂ÷,"210,066","3,405","8,594","23,466","22,257","10,951","8,106","8,288","9,311","9,690","9,089","10,325","11,574","16,728","21,902","10,719","9,384","7,882","5,443","2,317",619,4,1,0,11
2019.01.15,ÇÏÂ÷,"207,044",850,"5,051","12,977","24,550","11,440","7,347","7,314","8,119","9,599","8,651","9,549","10,614","13,534","22,476","18,280","11,376","9,657","8,233","4,950","2,405",68,2,0,2
